sku,pza_cja,kg_lt,cjs_pllt,pzs,cjs,pallets
CIA024,12,1.0,66,1.0,0.083333333,0.001262626
CIA025,12,0.95,77,1.052631579,0.087719298,0.001139212
DAS001,2,10.0,52,0.1,0.05,0.000961538
DAS002,4,5.0,44,0.2,0.05,0.001136364
DAS003,12,1.0,77,1.0,0.083333333,0.001082251
DVA001,12,0.9,77,1.111111111,0.092592593,0.001202501
E005,4,5.0,44,0.2,0.05,0.001136364
E167,48,0.454,32,2.202643172,0.045888399,0.001434012
E281,20,0.96,16,1.041666667,0.052083333,0.003255208
E305,1,20.0,32,0.05,0.05,0.0015625
FARMA002,4,5.0,44,0.2,0.05,0.001136364
FARMA003,21,0.25,143,4.0,0.19047619,0.001332001
FARMA007,4,5.0,44,0.2,0.05,0.001136364
FARMA008,2,10.0,52,0.1,0.05,0.000961538
FARMA009,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA010,4,5.0,44,0.2,0.05,0.001136364
FARMA011,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA012,15,1.0,63,1.0,0.066666667,0.001058201
FARMA013,20,0.5,143,2.0,0.1,0.000699301
FARMA016,15,1.0,63,1.0,0.066666667,0.001058201
FARMA019,21,0.24,143,4.166666667,0.198412698,0.001387501
FARMA021,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA022,48,0.08,91,12.5,0.260416667,0.002861722
FARMA023,4,5.0,44,0.2,0.05,0.001136364
FARMA024,15,1.0,63,1.0,0.066666667,0.001058201
FARMA025,15,1.0,63,1.0,0.066666667,0.001058201
FARMA027,2,10.0,52,0.1,0.05,0.000961538
FARMA029,15,0.5,63,2.0,0.133333333,0.002116402
FARMA032,24,1.0,40,1.0,0.041666667,0.001041667
FARMA033,1,20.0,60,0.05,0.05,0.000833333
FARMA040,4,5.0,44,0.2,0.05,0.001136364
FARMA049,10,0.25,63,4.0,0.4,0.006349206
FARMA054,8,1.0,55,1.0,0.125,0.002272727
FARMA056,15,1.0,63,1.0,0.066666667,0.001058201
FARMA058,15,0.97,63,1.030927835,0.068728522,0.001090929
FARMA060,21,0.25,143,4.0,0.19047619,0.001332001
FARMA071,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA072,20,0.45,77,2.222222222,0.111111111,0.001443001
FARMA073,4,5.0,44,0.2,0.05,0.001136364
FARMA074,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA075,1,5.0,200,0.2,0.2,0.001
FARMA076,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA077,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA078,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA079,21,0.24,143,4.166666667,0.198412698,0.001387501
FARMA080,15,1.0,63,1.0,0.066666667,0.001058201
FARMA081,21,0.25,143,4.0,0.19047619,0.001332001
FARMA082,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA083,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA085,4,5.0,44,0.2,0.05,0.001136364
FARMA086,2,10.0,52,0.1,0.05,0.000961538
FARMA088,15,0.95,63,1.052631579,0.070175439,0.001113896
FERCO001,12,0.95,77,1.052631579,0.087719298,0.001139212
FMC101,12,1.0,77,1.0,0.083333333,0.001082251
FMC103,12,1.0,77,1.0,0.083333333,0.001082251
FU00014,2,9.0,27,0.111111111,0.055555556,0.002057613
FU00045,12,1.0,66,1.0,0.083333333,0.001262626
GIFT10481571,12,1.0,45,1.0,0.083333333,0.001851852
GIFT10481573,12,1.0,45,1.0,0.083333333,0.001851852
GIFT10595873,12,1.0,45,1.0,0.083333333,0.001851852
GIFT10595875,2,10.0,30,0.1,0.05,0.001666667
GIFT11081212,2,10.0,30,0.1,0.05,0.001666667
GIFT11081214,12,1.0,45,1.0,0.083333333,0.001851852
GIFT12659082,1,200.0,800,0.005,0.005,6.25e-06
GIFT30124965,1,1000.0,1000,0.001,0.001,1e-06
GIFT5952750,12,1.0,65,1.0,0.083333333,0.001282051
